         11712202430 function calls (11424169438 primitive calls) in 43014.864 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 80040878  150.552    0.000  179.117    0.000 dtypes.py:606(as_dtype)
  3108549    7.629    0.000  177.423    0.000 tf_utils.py:513(to_numpy_or_python_type)
 17326650   19.710    0.000  175.007    0.000 {built-in method _functools.reduce}
273549814/273540699  134.025    0.000  172.916    0.000 {built-in method builtins.getattr}
 55841166  100.613    0.000  171.062    0.000 abc.py:180(__instancecheck__)
  1528821   30.970    0.000  168.039    0.000 structure.py:70(normalize_element)
  8666070  166.099    0.000  166.099    0.000 {method 'ParseFromString' of 'google.protobuf.pyext._message.CMessage' objects}
 70873246  136.973    0.000  166.049    0.000 contextlib.py:59(__init__)
 12235619   67.578    0.000  165.859    0.000 ops.py:2312(inputs)
 12233540   16.518    0.000  164.428    0.000 ops.py:386(_create_with_tf_output)
   221044    1.813    0.000  164.322    0.001 threading.py:533(wait)
   762891   12.083    0.000  162.802    0.000 Hanabi.py:258(toarray)
   220325    2.311    0.000  161.715    0.001 threading.py:263(wait)
  1529006   12.536    0.000  160.279    0.000 function.py:2299(from_function_and_signature)
  1528970  156.969    0.000  156.969    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_GraphToFunction_wrapper}
   509607    1.384    0.000  153.372    0.000 dataset_ops.py:1031(prefetch)
   509607   10.480    0.000  151.987    0.000 dataset_ops.py:4289(__init__)
349275312/349272534  141.027    0.000  149.456    0.000 {built-in method builtins.hasattr}
  5096070   11.428    0.000  148.523    0.000 dataset_ops.py:546(_flat_structure)
 12233540   45.726    0.000  147.911    0.000 ops.py:359(__init__)
  3057960    2.213    0.000  147.605    0.000 func_graph.py:130(<listcomp>)
 10194143   67.909    0.000  145.873    0.000 tf_decorator.py:67(make_decorator)
  2038718   18.255    0.000  145.393    0.000 func_graph.py:82(encode_arg)
246443871   66.128    0.000  144.556    0.000 {method 'get' of 'dict' objects}
28693919/15346533   44.105    0.000  142.308    0.000 {built-in method builtins.hash}
 12233218   12.982    0.000  141.303    0.000 lock_util.py:126(__exit__)
 11834504   10.969    0.000  140.628    0.000 Experiment.py:105(<lambda>)
 12233218    9.935    0.000  135.052    0.000 lock_util.py:123(__enter__)
   795328    4.472    0.000  135.024    0.000 Hanabi.py:367(save)
100417261   59.854    0.000  134.159    0.000 compat.py:114(as_str)
  7135982   25.866    0.000  133.645    0.000 contextlib.py:129(contextmanager)
  4613985    6.587    0.000  132.580    0.000 type_spec.py:301(__hash__)
  3057642   13.037    0.000  131.122    0.000 structure.py:299(_to_tensor_list_helper)
22429569/22429478   34.774    0.000  131.116    0.000 base.py:453(_method_wrapper)
184519685  130.429    0.000  130.429    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_OperationOpType}
  6624891   10.639    0.000  129.941    0.000 dataset_ops.py:2927(merge)
  7689967   13.485    0.000  129.767    0.000 type_spec.py:337(__get_cmp_key)
 12233218   44.376    0.000  128.321    0.000 lock_util.py:96(release)
 56335635  125.829    0.000  125.834    0.000 {built-in method numpy.array}
 12233218   35.410    0.000  125.117    0.000 lock_util.py:86(acquire)
