         11712202430 function calls (11424169438 primitive calls) in 43014.864 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      280    0.000    0.000    0.001    0.000 ops.py:416(device)
     2572    0.001    0.000    0.001    0.000 _collections_abc.py:392(__subclasshook__)
       52    0.000    0.000    0.001    0.000 transforms.py:2681(__init__)
    13/10    0.000    0.000    0.001    0.000 sre_parse.py:470(_parse)
        6    0.001    0.000    0.001    0.000 {built-in method posix.open}
     1304    0.000    0.000    0.001    0.000 nested_structure_coder.py:133(can_encode)
        2    0.000    0.000    0.001    0.000 backend_pdf.py:553(newPage)
       84    0.000    0.000    0.001    0.000 transforms.py:356(xmax)
       26    0.000    0.000    0.001    0.000 re.py:179(search)
      828    0.000    0.000    0.001    0.000 base.py:543(_setattr_tracking)
      196    0.001    0.000    0.001    0.000 revived_types.py:73(to_proto)
        1    0.000    0.000    0.001    0.001 np_arrays.py:15(<module>)
       45    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:147(__enter__)
       16    0.000    0.000    0.001    0.000 transforms.py:706(<listcomp>)
        1    0.001    0.001    0.001    0.001 Experiment.py:200(<listcomp>)
       33    0.000    0.000    0.001    0.000 backend_pdf.py:423(_flush)
      132    0.000    0.000    0.001    0.000 base_layer.py:2340(_should_cast_single_input)
      144    0.000    0.000    0.001    0.000 data_structures.py:650(<dictcomp>)
      518    0.000    0.000    0.001    0.000 artist.py:180(convert_yunits)
      200    0.000    0.000    0.001    0.000 variables.py:1132(_shared_name)
      533    0.000    0.000    0.001    0.000 lines.py:1297(set_ydata)
      296    0.000    0.000    0.001    0.000 device.py:172(is_null_merge)
      209    0.000    0.000    0.001    0.000 lines.py:1355(set_dash_joinstyle)
       33    0.000    0.000    0.001    0.000 backend_pdf.py:645(beginStream)
       32    0.000    0.000    0.001    0.000 distribute_lib.py:2896(colocate_vars_with)
     2056    0.001    0.000    0.001    0.000 base.py:984(_list_extra_dependencies_for_serialization)
      232    0.001    0.000    0.001    0.000 nested_structure_coder.py:72(<listcomp>)
       16    0.000    0.000    0.001    0.000 transforms.py:705(<listcomp>)
       82    0.000    0.000    0.001    0.000 ast3.py:250(visit_Name)
        3    0.000    0.000    0.001    0.000 genericpath.py:27(isfile)
      824    0.001    0.000    0.001    0.000 copy.py:252(_keep_alive)
      132    0.000    0.000    0.001    0.000 axis.py:301(set_label1)
      448    0.000    0.000    0.001    0.000 def_function.py:911(input_signature)
      288    0.000    0.000    0.001    0.000 regularizers.py:342(serialize)
      132    0.000    0.000    0.001    0.000 axis.py:314(set_label2)
      452    0.000    0.000    0.001    0.000 lines.py:59(_scale_dashes)
        6    0.000    0.000    0.001    0.000 inspect.py:760(findsource)
        1    0.000    0.000    0.001    0.001 compile_utils.py:298(build)
        6    0.000    0.000    0.001    0.000 figure.py:874(set_size_inches)
        5    0.000    0.000    0.001    0.000 base_layer.py:1250(trainable)
      480    0.000    0.000    0.001    0.000 base_layer_utils.py:399(call_context)
       77    0.000    0.000    0.001    0.000 reaching_definitions.py:204(visit_Name)
       32    0.000    0.000    0.001    0.000 gen_io_ops.py:1543(<listcomp>)
       66    0.000    0.000    0.001    0.000 tensor_shape.py:282(merge_with)
     3968    0.001    0.000    0.001    0.000 artist.py:192(axes)
       10    0.000    0.000    0.001    0.000 sre_compile.py:542(_code)
      245    0.000    0.000    0.001    0.000 serialization.py:110(<lambda>)
       37    0.000    0.000    0.001    0.000 functional.py:335(<listcomp>)
       32    0.000    0.000    0.001    0.000 shape_base.py:286(hstack)
        2    0.000    0.000    0.001    0.000 _subplots.py:129(update_params)
  598/320    0.000    0.000    0.001    0.000 transforms.py:2349(<lambda>)
        3    0.000    0.000    0.001    0.000 cfg.py:914(visit_Try)
       33    0.000    0.000    0.001    0.000 backend_pdf.py:348(__init__)
        1    0.000    0.000    0.001    0.001 type1font.py:39(Type1Font)
       33    0.001    0.000    0.001    0.000 {method 'flush' of 'zlib.Compress' objects}
     5059    0.001    0.000    0.001    0.000 inspect.py:2506(default)
      112    0.001    0.000    0.001    0.000 {method 'round' of 'numpy.ndarray' objects}
      539    0.000    0.000    0.001    0.000 function_base.py:257(iterable)
        2    0.000    0.000    0.001    0.000 _base.py:1868(_update_line_limits)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:845(_cache_bytecode)
    24/22    0.000    0.000    0.001    0.000 transforms.py:412(bounds)
        2    0.000    0.000    0.001    0.000 gridspec.py:586(get_position)
       94    0.001    0.000    0.001    0.000 ops.py:4760(_attr_scope)
        6    0.000    0.000    0.001    0.000 tensor_util.py:569(MakeNdarray)
      404    0.000    0.000    0.001    0.000 ops.py:1730(_device_string)
     1019    0.001    0.000    0.001    0.000 compile_utils.py:129(<listcomp>)
      138    0.000    0.000    0.001    0.000 path.py:188(_update_values)
        8    0.000    0.000    0.001    0.000 decoder.py:334(decode)
       76    0.000    0.000    0.001    0.000 func_graph.py:697(clear_captures)
        8    0.000    0.000    0.001    0.000 _base.py:1436(apply_aspect)
      236    0.000    0.000    0.001    0.000 nested_structure_coder.py:333(do_encode)
      131    0.000    0.000    0.001    0.000 base_layer.py:1200(_autographed_call)
     2126    0.001    0.000    0.001    0.000 ops.py:3156(_set_control_flow_context)
      108    0.001    0.000    0.001    0.000 text.py:41(get_rotation)
      209    0.000    0.000    0.001    0.000 lines.py:1416(set_solid_capstyle)
      108    0.000    0.000    0.001    0.000 text.py:1193(_preprocess_math)
      209    0.000    0.000    0.001    0.000 lines.py:1061(set_drawstyle)
      388    0.000    0.000    0.001    0.000 ops.py:517(<listcomp>)
        1    0.000    0.000    0.001    0.001 base_layer_v1.py:77(Layer)
        8    0.000    0.000    0.001    0.000 tf_utils.py:464(graph_context_for_symbolic_tensors)
      430    0.000    0.000    0.001    0.000 function_deserialization.py:339(<genexpr>)
      850    0.000    0.000    0.001    0.000 ops.py:4584(op_in_group)
       72    0.000    0.000    0.001    0.000 json_utils.py:37(default)
       18    0.000    0.000    0.001    0.000 ast3.py:149(visit_arguments)
       88    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      224    0.000    0.000    0.001    0.000 auto_control_deps_utils.py:66(<listcomp>)
       32    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(ptp)
        6    0.000    0.000    0.001    0.000 cfg.py:599(build)
      104    0.000    0.000    0.001    0.000 save_impl.py:438(training_arg_was_passed)
        3    0.000    0.000    0.001    0.000 anno.py:152(dup)
      128    0.000    0.000    0.001    0.000 forwardprop_util.py:34(__new__)
       25    0.000    0.000    0.001    0.000 path.py:419(cleaned)
       36    0.000    0.000    0.001    0.000 transforms.py:986(__init__)
        4    0.000    0.000    0.001    0.000 _base.py:800(_update_transScale)
        3    0.000    0.000    0.001    0.000 continue_statements.py:119(_visit_non_loop_body)
      255    0.001    0.000    0.001    0.000 base.py:406(object_proto)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:850(set_data)
       16    0.000    0.000    0.001    0.000 save_impl.py:385(to_tensor_spec_or_none)
       12    0.000    0.000    0.001    0.000 templates.py:154(visit_keyword)
      182    0.000    0.000    0.001    0.000 optimizer_v2.py:721(__setattr__)
      470    0.000    0.000    0.001    0.000 transformer.py:194(__getitem__)
        4    0.000    0.000    0.001    0.000 metric_serialization.py:42(_get_serialized_attributes_internal)
      136    0.000    0.000    0.001    0.000 context.py:2390(_tmp_in_graph_mode)
        6    0.000    0.000    0.001    0.000 __init__.py:1406(makeRecord)
      202    0.000    0.000    0.001    0.000 font_manager.py:759(set_style)
        3    0.000    0.000    0.001    0.000 cfg.py:248(visit_reverse)
       32    0.000    0.000    0.001    0.000 transforms.py:763(unit)
       11    0.000    0.000    0.001    0.000 data_structures.py:1043(<lambda>)
       32    0.000    0.000    0.001    0.000 axis.py:1648(set_major_locator)
      209    0.000    0.000    0.001    0.000 lines.py:1370(set_solid_joinstyle)
      820    0.000    0.000    0.001    0.000 nested_structure_coder.py:280(can_encode)
      258    0.000    0.000    0.001    0.000 base_layer.py:2515(_call_arg_was_passed)
       86    0.000    0.000    0.001    0.000 ops.py:2510(_get_attr_type)
       92    0.001    0.000    0.001    0.000 resource_variable_ops.py:97(<listcomp>)
        6    0.000    0.000    0.001    0.000 layer_utils.py:182(print_row)
       15    0.000    0.000    0.001    0.000 function_base.py:2031(__init__)
       97    0.000    0.000    0.001    0.000 ops.py:6287(add_to_collection)
        2    0.000    0.000    0.001    0.000 optimizers.py:835(deserialize)
      204    0.000    0.000    0.001    0.000 transforms.py:2057(transform)
    29/13    0.000    0.000    0.001    0.000 unparser.py:716(_Call)
      260    0.000    0.000    0.001    0.000 ops.py:6769(_op_to_colocate_with)
       32    0.000    0.000    0.001    0.000 ticker.py:1955(scale_range)
        8    0.000    0.000    0.001    0.000 decoder.py:345(raw_decode)
       11    0.000    0.000    0.001    0.000 policy.py:488(global_policy)
        1    0.000    0.000    0.001    0.001 load.py:1015(_set_network_attributes_from_metadata)
       68    0.000    0.000    0.001    0.000 axis.py:1562(convert_units)
        6    0.000    0.000    0.001    0.000 __init__.py:251(__init__)
       25    0.000    0.000    0.001    0.000 directives.py:117(visit_Name)
      204    0.000    0.000    0.001    0.000 __init__.py:1296(is_math_text)
        8    0.000    0.000    0.001    0.000 tf_utils.py:445(maybe_init_scope)
       27    0.000    0.000    0.001    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        2    0.000    0.000    0.001    0.000 file_io.py:95(size)
      136    0.000    0.000    0.001    0.000 policy.py:585(_is_convertible_to_dtype)
      539    0.000    0.000    0.001    0.000 __init__.py:1961(<listcomp>)
        8    0.000    0.000    0.001    0.000 saving_utils.py:270(_serialize_nested_config)
      267    0.001    0.000    0.001    0.000 base_layer_utils.py:524(__exit__)
       28    0.000    0.000    0.001    0.000 templates.py:185(visit_Attribute)
      150    0.000    0.000    0.001    0.000 transforms.py:2154(<lambda>)
      422    0.000    0.000    0.001    0.000 ops.py:6625(_restore_name_scope)
       46    0.000    0.000    0.001    0.000 saveable_object_util.py:317(_add_saveable)
        2    0.000    0.000    0.001    0.000 pyplot.py:3029(title)
       33    0.000    0.000    0.001    0.000 __init__.py:38(populate_deserializable_objects)
      132    0.001    0.000    0.001    0.000 transforms.py:2859(_interval_contains_close)
      162    0.001    0.000    0.001    0.000 {method 'clear' of 'matplotlib.ft2font.FT2Font' objects}
       32    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(diff)
       78    0.000    0.000    0.001    0.000 reaching_definitions.py:101(__sub__)
      167    0.000    0.000    0.001    0.000 gast.py:321(copy_location)
      736    0.001    0.000    0.001    0.000 base_layer.py:2954(_eager_losses)
      200    0.000    0.000    0.001    0.000 tensor_shape.py:1238(unknown_shape)
        4    0.000    0.000    0.001    0.000 save.py:677(_verify_ops)
      255    0.000    0.000    0.001    0.000 base.py:402(trackable)
        2    0.000    0.000    0.001    0.000 file_io.py:780(stat)
      121    0.000    0.000    0.001    0.000 stride_tricks.py:185(_broadcast_shape)
       24    0.000    0.000    0.000    0.000 serialized_attributes.py:142(new)
       64    0.000    0.000    0.000    0.000 node.py:188(serialize_first_arg_tensor)
        2    0.000    0.000    0.000    0.000 file_io.py:796(stat_v2)
       33    0.000    0.000    0.000    0.000 nested_structure_coder.py:212(do_decode)
 1192/424    0.000    0.000    0.000    0.000 tensor_util.py:229(_FlattenToStrings)
       51    0.000    0.000    0.000    0.000 posixpath.py:75(join)
        2    0.000    0.000    0.000    0.000 training.py:557(_get_optimizer)
      150    0.000    0.000    0.000    0.000 lines.py:953(_get_markerfacecolor)
       50    0.000    0.000    0.000    0.000 markers.py:301(get_transform)
      600    0.000    0.000    0.000    0.000 module_wrapper.py:154(__getattribute__)
      547    0.000    0.000    0.000    0.000 device_spec.py:350(_components_to_string)
        2    0.000    0.000    0.000    0.000 _datasource.py:517(exists)
       32    0.000    0.000    0.000    0.000 fromnumeric.py:2477(ptp)
        2    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_file_io.Stat}
      154    0.000    0.000    0.000    0.000 text.py:1137(set_verticalalignment)
        2    0.000    0.000    0.000    0.000 _base.py:563(set_figure)
        1    0.000    0.000    0.000    0.000 base.py:38(is_hdf5)
       10    0.000    0.000    0.000    0.000 base_layer.py:1228(supports_masking)
        8    0.000    0.000    0.000    0.000 save.py:360(_tensor_dict_to_tensorinfo)
     1641    0.000    0.000    0.000    0.000 device_spec.py:38(_as_int_or_none)
        4    0.000    0.000    0.000    0.000 _base.py:3498(set_ylim)
        2    0.000    0.000    0.000    0.000 _axes.py:148(set_title)
        6    0.000    0.000    0.000    0.000 ast3.py:187(visit_ExceptHandler)
        8    0.000    0.000    0.000    0.000 save.py:361(<dictcomp>)
      280    0.000    0.000    0.000    0.000 device_spec.py:300(_string_to_components)
      202    0.000    0.000    0.000    0.000 font_manager.py:796(set_stretch)
      150    0.000    0.000    0.000    0.000 artist.py:1037(set_zorder)
       21    0.000    0.000    0.000    0.000 activity.py:547(_visit_arg_annotations)
       22    0.000    0.000    0.000    0.000 unparser.py:115(_Assign)
      494    0.000    0.000    0.000    0.000 backend_mixed.py:67(__getattr__)
      432    0.000    0.000    0.000    0.000 resource_variable_ops.py:503(device)
       68    0.000    0.000    0.000    0.000 units.py:58(_is_natively_supported)
       18    0.000    0.000    0.000    0.000 base_layer.py:2409(_init_set_name)
       20    0.000    0.000    0.000    0.000 save_impl.py:296(_restore_child_layer_functions)
       26    0.000    0.000    0.000    0.000 function_def_to_graph.py:84(<listcomp>)
       40    0.000    0.000    0.000    0.000 data_structures.py:338(append)
        4    0.000    0.000    0.000    0.000 figure.py:966(set_facecolor)
       21    0.000    0.000    0.000    0.000 activity.py:237(__init__)
        2    0.000    0.000    0.000    0.000 training.py:560(_get_single_optimizer)
       23    0.000    0.000    0.000    0.000 generic_utils.py:745(to_snake_case)
        9    0.000    0.000    0.000    0.000 cfg.py:691(_process_exit_statement)
     1416    0.000    0.000    0.000    0.000 device_spec.py:431(to_string)
  111/107    0.000    0.000    0.000    0.000 tf_utils.py:187(<listcomp>)
      202    0.000    0.000    0.000    0.000 font_manager.py:769(set_variant)
     1205    0.000    0.000    0.000    0.000 data_structures.py:377(__getitem__)
        2    0.000    0.000    0.000    0.000 axis.py:1945(_get_label)
        4    0.000    0.000    0.000    0.000 transforms.py:1669(set)
      536    0.000    0.000    0.000    0.000 backend_pdf.py:902(cvt)
        4    0.000    0.000    0.000    0.000 functional.py:825(_map_graph_network)
        8    0.000    0.000    0.000    0.000 utils_impl.py:70(build_tensor_info_internal)
      238    0.000    0.000    0.000    0.000 saveable_object.py:24(__init__)
       39    0.000    0.000    0.000    0.000 cfg.py:77(freeze)
        8    0.000    0.000    0.000    0.000 text.py:223(_get_xy_display)
      372    0.000    0.000    0.000    0.000 __init__.py:833(clean)
      160    0.000    0.000    0.000    0.000 axis.py:819(get_transform)
        2    0.000    0.000    0.000    0.000 optimizers.py:872(get)
      147    0.000    0.000    0.000    0.000 base_layer_utils.py:541(is_subclassed)
      110    0.000    0.000    0.000    0.000 font_manager.py:1106(score_stretch)
        2    0.000    0.000    0.000    0.000 _base.py:363(<listcomp>)
       54    0.000    0.000    0.000    0.000 ast3.py:139(visit_NameConstant)
       12    0.000    0.000    0.000    0.000 uuid.py:621(uuid4)
       34    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(atleast_1d)
      382    0.000    0.000    0.000    0.000 inspect.py:505(_is_wrapper)
      171    0.000    0.000    0.000    0.000 ops.py:4596(_current_control_dependencies)
        2    0.000    0.000    0.000    0.000 gridspec.py:133(get_grid_positions)
        2    0.000    0.000    0.000    0.000 _base.py:251(_makeline)
        7    0.000    0.000    0.000    0.000 base_layer.py:1242(stateful)
       16    0.000    0.000    0.000    0.000 spines.py:266(_adjust_location)
        4    0.000    0.000    0.000    0.000 training.py:2401(_set_save_spec)
        4    0.000    0.000    0.000    0.000 training.py:2288(state_updates)
      224    0.000    0.000    0.000    0.000 base_layer.py:3001(_trackable_saved_model_saver)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:106(_write_atomic)
      104    0.000    0.000    0.000    0.000 transforms.py:2564(get_matrix)
       32    0.000    0.000    0.000    0.000 function_base.py:1141(diff)
      568    0.000    0.000    0.000    0.000 {built-in method builtins.round}
        4    0.000    0.000    0.000    0.000 tensor_util.py:842(constant_value_as_shape)
       69    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_MonitoringGetCellBoolGauge0}
       40    0.000    0.000    0.000    0.000 text.py:1093(set_position)
       15    0.000    0.000    0.000    0.000 callbacks.py:1610(__init__)
      213    0.000    0.000    0.000    0.000 tf_utils.py:281(_is_atomic_nested)
      204    0.000    0.000    0.000    0.000 data_structures.py:1059(<lambda>)
        6    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(isclose)
       36    0.000    0.000    0.000    0.000 axis.py:529(apply_tickdir)
      226    0.000    0.000    0.000    0.000 text.py:1104(set_x)
      140    0.000    0.000    0.000    0.000 ticker.py:564(fix_minus)
       36    0.000    0.000    0.000    0.000 data_structures.py:1061(<lambda>)
        6    0.000    0.000    0.000    0.000 backend_bases.py:1635(__init__)
      202    0.000    0.000    0.000    0.000 font_manager.py:746(set_family)
      314    0.000    0.000    0.000    0.000 traceable_stack.py:111(pop_obj)
      176    0.000    0.000    0.000    0.000 scale.py:117(get_transform)
      192    0.000    0.000    0.000    0.000 constraints.py:285(serialize)
       69    0.000    0.000    0.000    0.000 artist.py:923(set_alpha)
    20/10    0.000    0.000    0.000    0.000 sre_compile.py:64(_compile)
       32    0.000    0.000    0.000    0.000 nested_structure_coder.py:146(do_decode)
       25    0.000    0.000    0.000    0.000 transforms.py:2408(__init__)
       27    0.000    0.000    0.000    0.000 backend_pdf.py:1718(track_characters)
        6    0.000    0.000    0.000    0.000 numeric.py:2167(isclose)
       42    0.000    0.000    0.000    0.000 transforms.py:2544(__init__)
  120/103    0.000    0.000    0.000    0.000 templates.py:218(_convert_to_ast)
      996    0.000    0.000    0.000    0.000 nested_structure_coder.py:199(can_encode)
    13/10    0.000    0.000    0.000    0.000 unparser.py:14(interleave)
      124    0.000    0.000    0.000    0.000 transforms.py:2162(transform_non_affine)
        1    0.000    0.000    0.000    0.000 pyplot.py:658(close)
      243    0.000    0.000    0.000    0.000 ops.py:5185(__enter__)
      196    0.000    0.000    0.000    0.000 serialized_attributes.py:171(<dictcomp>)
        6    0.000    0.000    0.000    0.000 cfg.py:773(visit_Return)
       12    0.000    0.000    0.000    0.000 patches.py:436(set_fill)
        3    0.000    0.000    0.000    0.000 base_layer.py:1560(_clear_losses)
        8    0.000    0.000    0.000    0.000 metric_serialization.py:32(_python_properties_internal)
       32    0.000    0.000    0.000    0.000 _methods.py:228(_ptp)
       24    0.000    0.000    0.000    0.000 loss_scale.py:46(get)
        8    0.000    0.000    0.000    0.000 _base.py:859(_set_position)
      547    0.000    0.000    0.000    0.000 device_spec.py:42(_as_device_str_or_none)
       60    0.000    0.000    0.000    0.000 ast.py:215(walk)
        1    0.000    0.000    0.000    0.000 context.py:487(_initialize_logical_devices)
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:40(destroy)
       25    0.000    0.000    0.000    0.000 {built-in method matplotlib._path.cleanup_path}
      195    0.000    0.000    0.000    0.000 np_utils.py:236(_prepare_np_fun_name_and_fun)
  159/157    0.000    0.000    0.000    0.000 qual_names.py:158(__eq__)
       16    0.000    0.000    0.000    0.000 input_spec.py:230(to_tensor_spec)
      384    0.000    0.000    0.000    0.000 auto_control_deps_utils.py:54(<listcomp>)
       56    0.000    0.000    0.000    0.000 base_layer.py:3005(_object_identifier)
       39    0.000    0.000    0.000    0.000 cfg.py:348(_add_new_node)
       72    0.000    0.000    0.000    0.000 np_utils.py:201(<listcomp>)
       37    0.000    0.000    0.000    0.000 nested_structure_coder.py:389(do_decode)
       26    0.000    0.000    0.000    0.000 backprop.py:116(get_attr)
        6    0.000    0.000    0.000    0.000 transforms.py:904(p1)
      256    0.000    0.000    0.000    0.000 text.py:1115(set_y)
      468    0.000    0.000    0.000    0.000 func_graph.py:489(<genexpr>)
       20    0.000    0.000    0.000    0.000 cycler.py:349(by_key)
       33    0.000    0.000    0.000    0.000 axis.py:413(apply_tickdir)
       32    0.000    0.000    0.000    0.000 axis.py:1620(set_major_formatter)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      131    0.000    0.000    0.000    0.000 base_layer.py:1157(_set_training_mode)
        7    0.000    0.000    0.000    0.000 directives.py:126(visit_Attribute)
       32    0.000    0.000    0.000    0.000 axis.py:1664(set_minor_locator)
      211    0.000    0.000    0.000    0.000 function_deserialization.py:424(<genexpr>)
     1215    0.000    0.000    0.000    0.000 object_identity.py:78(unwrapped)
        3    0.000    0.000    0.000    0.000 activity.py:693(visit_ExceptHandler)
      152    0.000    0.000    0.000    0.000 text.py:240(set_rotation_mode)
     10/8    0.000    0.000    0.000    0.000 transforms.py:1709(__eq__)
       38    0.000    0.000    0.000    0.000 patches.py:315(_set_edgecolor)
      221    0.000    0.000    0.000    0.000 lines.py:31(_get_dash_pattern)
        4    0.000    0.000    0.000    0.000 _base.py:1116(_set_title_offset_trans)
        4    0.000    0.000    0.000    0.000 training.py:639(metrics_names)
        7    0.000    0.000    0.000    0.000 training.py:569(_reset_compile_cache)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
       83    0.000    0.000    0.000    0.000 base_layer.py:2578(_get_node_attribute_at_index)
     1094    0.000    0.000    0.000    0.000 device_spec.py:34(_as_str_or_none)
       30    0.000    0.000    0.000    0.000 cfg.py:391(add_ordinary_node)
      844    0.000    0.000    0.000    0.000 context.py:808(scope_name)
      153    0.000    0.000    0.000    0.000 fractions.py:84(__new__)
        3    0.000    0.000    0.000    0.000 unsupported_features_checker.py:60(verify)
      469    0.000    0.000    0.000    0.000 transforms.py:177(<lambda>)
       34    0.000    0.000    0.000    0.000 shape_base.py:25(atleast_1d)
        4    0.000    0.000    0.000    0.000 figure.py:956(set_edgecolor)
      154    0.000    0.000    0.000    0.000 text.py:949(set_horizontalalignment)
        1    0.000    0.000    0.000    0.000 {built-in method gc.collect}
       33    0.000    0.000    0.000    0.000 nested_structure_coder.py:213(<dictcomp>)
       24    0.000    0.000    0.000    0.000 _text_layout.py:8(layout)
     2400    0.000    0.000    0.000    0.000 data_structures.py:447(_external_modification)
       16    0.000    0.000    0.000    0.000 function.py:2709(<genexpr>)
      152    0.000    0.000    0.000    0.000 text.py:933(set_color)
     1094    0.000    0.000    0.000    0.000 base_layer.py:1218(name)
       49    0.000    0.000    0.000    0.000 templates.py:111(__init__)
       51    0.000    0.000    0.000    0.000 fractions.py:386(reverse)
        1    0.000    0.000    0.000    0.000 saving_utils.py:204(compile_args_from_training_config)
        2    0.000    0.000    0.000    0.000 _base.py:3435(set_ybound)
       44    0.000    0.000    0.000    0.000 _ufunc_config.py:39(seterr)
        3    0.000    0.000    0.000    0.000 version_utils.py:54(__new__)
       52    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
      209    0.000    0.000    0.000    0.000 lines.py:1038(set_antialiased)
      650    0.000    0.000    0.000    0.000 device_spec.py:426(__hash__)
       32    0.000    0.000    0.000    0.000 {method 'sum' of 'numpy.ndarray' objects}
       24    0.000    0.000    0.000    0.000 loss_scale.py:421(get)
        3    0.000    0.000    0.000    0.000 unparser.py:245(_Try)
      152    0.000    0.000    0.000    0.000 text.py:1227(set_usetex)
      282    0.000    0.000    0.000    0.000 artist.py:371(get_transform)
      209    0.000    0.000    0.000    0.000 lines.py:1228(set_markeredgewidth)
      211    0.000    0.000    0.000    0.000 lines.py:635(axes)
      110    0.000    0.000    0.000    0.000 font_manager.py:1068(<listcomp>)
     3104    0.000    0.000    0.000    0.000 copy.py:190(_deepcopy_atomic)
      152    0.000    0.000    0.000    0.000 device_spec.py:376(__eq__)
        3    0.000    0.000    0.000    0.000 type_spec.py:110(most_specific_compatible_type)
      124    0.000    0.000    0.000    0.000 node.py:147(map_arguments)
       32    0.000    0.000    0.000    0.000 axis.py:1634(set_minor_formatter)
       39    0.000    0.000    0.000    0.000 _weakrefset.py:116(update)
       32    0.000    0.000    0.000    0.000 nested_structure_coder.py:147(<listcomp>)
      209    0.000    0.000    0.000    0.000 lines.py:1271(set_markersize)
       69    0.000    0.000    0.000    0.000 transformer.py:116(__init__)
      362    0.000    0.000    0.000    0.000 __init__.py:2113(type_name)
      210    0.000    0.000    0.000    0.000 backend_bases.py:938(set_foreground)
      105    0.000    0.000    0.000    0.000 weakref.py:438(items)
        2    0.000    0.000    0.000    0.000 _base.py:913(_gen_axes_patch)
       12    0.000    0.000    0.000    0.000 cfg.py:174(__init__)
       26    0.000    0.000    0.000    0.000 patches.py:330(set_edgecolor)
       30    0.000    0.000    0.000    0.000 liveness.py:50(visit_node)
        8    0.000    0.000    0.000    0.000 transforms.py:1509(transform_path)
      128    0.000    0.000    0.000    0.000 transforms.py:1705(__array__)
      148    0.000    0.000    0.000    0.000 nested_structure_coder.py:403(do_encode)
     1181    0.000    0.000    0.000    0.000 ops.py:4634(<genexpr>)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
       86    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_OperationGetAttrType}
     2400    0.000    0.000    0.000    0.000 data_structures.py:431(_non_append_mutation)
      674    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
      189    0.000    0.000    0.000    0.000 reaching_definitions.py:72(<dictcomp>)
      665    0.000    0.000    0.000    0.000 tf_stack.py:123(get_filtered_filenames)
  284/276    0.000    0.000    0.000    0.000 spines.py:220(_ensure_position_is_set)
      489    0.000    0.000    0.000    0.000 weakref.py:125(_commit_removals)
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
      264    0.000    0.000    0.000    0.000 base_layer.py:2468(<genexpr>)
        4    0.000    0.000    0.000    0.000 save.py:527(_trace_resource_initializers)
      820    0.000    0.000    0.000    0.000 nested_structure_coder.py:257(can_encode)
      128    0.000    0.000    0.000    0.000 function.py:1430(forward)
     10/3    0.000    0.000    0.000    0.000 type_spec.py:395(__most_specific_compatible_type_serialization)
      704    0.000    0.000    0.000    0.000 nested_structure_coder.py:170(<genexpr>)
        1    0.000    0.000    0.000    0.000 enum.py:366(_create_)
      856    0.000    0.000    0.000    0.000 generic_utils.py:167(get_registered_name)
       51    0.000    0.000    0.000    0.000 base_layer.py:2070(input)
       38    0.000    0.000    0.000    0.000 tensor_conversion_registry.py:136(<genexpr>)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:403(cached)
        3    0.000    0.000    0.000    0.000 inspect_utils.py:339(getfutureimports)
      936    0.000    0.000    0.000    0.000 function.py:2566(<genexpr>)
       20    0.000    0.000    0.000    0.000 math_ops.py:1855(_may_reduce_to_scalar)
       69    0.000    0.000    0.000    0.000 axis.py:197(_set_labelrotation)
       32    0.000    0.000    0.000    0.000 _methods.py:36(_sum)
       12    0.000    0.000    0.000    0.000 cfg.py:201(reset)
       26    0.000    0.000    0.000    0.000 function_def_to_graph.py:69(<listcomp>)
       26    0.000    0.000    0.000    0.000 function_def_to_graph.py:77(<listcomp>)
       16    0.000    0.000    0.000    0.000 _base.py:3087(_validate_converted_limits)
       57    0.000    0.000    0.000    0.000 {method 'extend' of 'collections.deque' objects}
       30    0.000    0.000    0.000    0.000 reaching_fndefs.py:88(visit_node)
